mp,tav,tbv,bc,ac,time
8.86,271664.672,28436.193,251148.369,13222076.264,1695350174
8.86,272145.355,27202.854,240257.858,13226294.544,1695350177
8.86,272421.907,21563.313,190318.887,13228701.118,1695350180
8.86,272880.57,21657.919,191149.182,13232764.872,1695350183
8.86,272578.162,22224.728,196148.438,13230076.238,1695350186
8.86,272578.162,22224.728,196148.438,13230076.238,1695350189
8.86,272578.162,22367.105,197409.534,13230076.547,1695350192
8.86,269626.713,25105.896,221669.399,13203956.902,1695350195
8.86,270602.405,26365.046,232807.856,13212636.616,1695350198
8.86,270577.328,26331.197,232508.969,13212414.306,1695350201
8.86,270577.328,25981.323,229412.584,13212416.806,1695350204
8.86,270125.466,25556.515,225664.389,13208404.271,1695350207
8.86,270718.775,25556.515,225664.389,13213669.694,1695350210
8.86,270771.51,25419.904,224455.043,13214134.211,1695350213
8.86,270771.51,25419.904,224455.043,13214134.211,1695350216
8.86,270994.418,25321.107,223580.607,13216109.599,1695350219
8.86,270994.418,25321.107,223580.607,13216104.35,1695350222
8.86,270644.142,26021.368,229780.903,13213006.549,1695350225
8.86,270644.142,26021.368,229781.069,13213010.576,1695350228
8.86,270192.28,26022.578,229791.654,13208994.092,1695350231
8.86,270192.28,26022.578,229791.587,13208994.092,1695350234
8.86,270781.897,25483.558,225021.26,13214226.805,1695350237
8.86,270644.16,25929.732,228969.9,13213006.709,1695350240
8.86,270915.342,26450.089,233574.804,13215423.404,1695350243
8.87,270921.967,26055.973,230135.542,13215485.754,1695350246
8.87,270921.967,26005.973,229694.042,13215485.754,1695350249
8.87,270915.367,18539.506,163821.327,13215427.182,1695350252
8.87,270915.367,18539.506,163821.327,13215430.635,1695350255
8.87,270915.367,18670.241,164984.595,13215435.592,1695350258
8.87,270918.667,18111.592,160047.802,13215464.863,1695350261
8.87,270908.667,18059.332,159582.508,13215372.828,1695350264
8.87,270905.367,18259.25,161352.242,13215346.892,1695350267
8.87,270905.233,18123.528,160148.056,13215345.702,1695350270
8.87,270905.233,18123.528,160148.056,13215345.702,1695350273
8.87,270905.234,18123.528,160148.056,13215345.711,1695350276
8.87,270905.233,18123.528,160148.056,13215345.702,1695350279
8.87,270905.269,18022.872,159254.881,13215347.056,1695350282
8.87,270905.269,18022.872,159254.881,13215347.056,1695350285
8.87,270905.269,18022.872,159254.881,13215347.056,1695350288
8.87,270905.269,18022.872,159254.881,13215348.524,1695350291
8.87,270432.676,17919.862,158344.273,13211136.876,1695350294
8.87,270905.27,18022.872,159254.881,13215332.238,1695350297
8.87,270453.47,18021.953,159244.728,13211320.254,1695350300
8.87,270456.77,18021.953,159244.728,13211349.525,1695350303
8.87,271612.591,17767.486,156990.386,13221598.646,1695350306
8.87,271612.591,17767.486,156990.386,13221598.646,1695350309
8.87,272067.726,17767.486,156990.386,13225640.212,1695350312
8.86,272666.396,23065.136,203663.432,13230928.388,1695350315
8.86,272379.56,23724.731,209493.526,13228387.531,1695350318
8.86,271590.625,22271.225,196658.849,13221386.776,1695350321
